zipcode,statecode,county,city_town,climate Zone
01775,MA,MIDDLESEX,STOW,5A
01776,MA,MIDDLESEX,SUDBURY,5A
01778,MA,MIDDLESEX,WAYLAND,5A
01784,MA,MIDDLESEX,WOODVILLE,5A
01801,MA,MIDDLESEX,WOBURN,5A
01803,MA,MIDDLESEX,BURLINGTON,5A
01805,MA,MIDDLESEX,BURLINGTON,5A
01810,MA,ESSEX,ANDOVER,5A
01812,MA,ESSEX,ANDOVER,5A
01815,MA,MIDDLESEX,WOBURN,5A
01821,MA,MIDDLESEX,BILLERICA,5A
01824,MA,MIDDLESEX,CHELMSFORD,5A
01826,MA,MIDDLESEX,DRACUT,5A
01827,MA,MIDDLESEX,DUNSTABLE,5A
01830,MA,ESSEX,HAVERHILL,5A
01831,MA,ESSEX,HAVERHILL,5A
01832,MA,ESSEX,HAVERHILL,5A
01833,MA,ESSEX,GEORGETOWN,5A
01834,MA,ESSEX,GROVELAND,5A
01835,MA,ESSEX,HAVERHILL,5A
01840,MA,ESSEX,LAWRENCE,5A
01841,MA,ESSEX,LAWRENCE,5A
01842,MA,ESSEX,LAWRENCE,5A
01843,MA,ESSEX,LAWRENCE,5A
01844,MA,ESSEX,METHUEN,5A
01845,MA,ESSEX,NORTH ANDOVER,5A
01850,MA,MIDDLESEX,LOWELL,5A
01851,MA,MIDDLESEX,LOWELL,5A
01852,MA,MIDDLESEX,LOWELL,5A
01853,MA,MIDDLESEX,LOWELL,5A
01854,MA,MIDDLESEX,LOWELL,5A
01860,MA,ESSEX,MERRIMAC,5A
01862,MA,MIDDLESEX,NORTH BILLERICA,5A
01863,MA,MIDDLESEX,NORTH CHELMSFORD,5A
01864,MA,MIDDLESEX,NORTH READING,5A
01865,MA,MIDDLESEX,NUTTING LAKE,5A
01866,MA,MIDDLESEX,PINEHURST,5A
01867,MA,MIDDLESEX,READING,5A
01876,MA,MIDDLESEX,TEWKSBURY,5A
01879,MA,MIDDLESEX,TYNGSBORO,5A
01880,MA,MIDDLESEX,WAKEFIELD,5A
01885,MA,ESSEX,WEST BOXFORD,5A
01886,MA,MIDDLESEX,WESTFORD,5A
01887,MA,MIDDLESEX,WILMINGTON,5A
01888,MA,MIDDLESEX,WOBURN,5A
01889,MA,MIDDLESEX,NORTH READING,5A
01890,MA,MIDDLESEX,WINCHESTER,5A
01901,MA,ESSEX,LYNN,5A
01902,MA,ESSEX,LYNN,5A
01903,MA,ESSEX,LYNN,5A
01904,MA,ESSEX,LYNN,5A
01905,MA,ESSEX,LYNN,5A
01906,MA,ESSEX,SAUGUS,5A
01907,MA,ESSEX,SWAMPSCOTT,5A
01908,MA,ESSEX,NAHANT,5A
01910,MA,ESSEX,LYNN,5A
01913,MA,ESSEX,AMESBURY,5A
01915,MA,ESSEX,BEVERLY,5A
01921,MA,ESSEX,BOXFORD,5A
01922,MA,ESSEX,BYFIELD,5A
01923,MA,ESSEX,DANVERS,5A
01929,MA,ESSEX,ESSEX,5A
01930,MA,ESSEX,GLOUCESTER,5A
01931,MA,ESSEX,GLOUCESTER,5A
01936,MA,ESSEX,HAMILTON,5A
01937,MA,ESSEX,HATHORNE,5A
01938,MA,ESSEX,IPSWICH,5A
01940,MA,ESSEX,LYNNFIELD,5A
01944,MA,ESSEX,MANCHESTER,5A
01945,MA,ESSEX,MARBLEHEAD,5A
01949,MA,ESSEX,MIDDLETON,5A
01950,MA,ESSEX,NEWBURYPORT,5A
01951,MA,ESSEX,NEWBURY,5A
01952,MA,ESSEX,SALISBURY,5A
01960,MA,ESSEX,PEABODY,5A
01961,MA,ESSEX,PEABODY,5A
01965,MA,ESSEX,PRIDES CROSSING,5A
01966,MA,ESSEX,ROCKPORT,5A
01969,MA,ESSEX,ROWLEY,5A
01970,MA,ESSEX,SALEM,5A
01982,MA,ESSEX,SOUTH HAMILTON,5A
01983,MA,ESSEX,TOPSFIELD,5A
01984,MA,ESSEX,WENHAM,5A
01985,MA,ESSEX,WEST NEWBURY,5A
02018,MA,PLYMOUTH,ACCORD,5A
02019,MA,NORFOLK,BELLINGHAM,5A
02020,MA,PLYMOUTH,BRANT ROCK,5A
02021,MA,NORFOLK,CANTON,5A
02025,MA,NORFOLK,COHASSET,5A
02026,MA,NORFOLK,DEDHAM,5A
02027,MA,NORFOLK,DEDHAM,5A
02030,MA,NORFOLK,DOVER,5A
02032,MA,NORFOLK,EAST WALPOLE,5A
02035,MA,NORFOLK,FOXBORO,5A
02038,MA,NORFOLK,FRANKLIN,5A
02040,MA,PLYMOUTH,GREENBUSH,5A
02041,MA,PLYMOUTH,GREEN HARBOR,5A
02043,MA,PLYMOUTH,HINGHAM,5A
02044,MA,PLYMOUTH,HINGHAM,5A
02045,MA,PLYMOUTH,HULL,5A
02047,MA,PLYMOUTH,HUMAROCK,5A
02048,MA,BRISTOL,MANSFIELD,5A
02050,MA,PLYMOUTH,MARSHFIELD,5A
02051,MA,PLYMOUTH,MARSHFIELD HILLS,5A
02052,MA,NORFOLK,MEDFIELD,5A
02053,MA,NORFOLK,MEDWAY,5A
02054,MA,NORFOLK,MILLIS,5A
02056,MA,NORFOLK,NORFOLK,5A
02059,MA,PLYMOUTH,NORTH MARSHFIELD,5A
02060,MA,PLYMOUTH,NORTH SCITUATE,5A
02061,MA,PLYMOUTH,NORWELL,5A
02062,MA,NORFOLK,NORWOOD,5A
02065,MA,PLYMOUTH,OCEAN BLUFF,5A
02066,MA,PLYMOUTH,SCITUATE,5A
02067,MA,NORFOLK,SHARON,5A
02070,MA,NORFOLK,SHELDONVILLE,5A
02071,MA,NORFOLK,SOUTH WALPOLE,5A
02072,MA,NORFOLK,STOUGHTON,5A
02081,MA,NORFOLK,WALPOLE,5A
02090,MA,NORFOLK,WESTWOOD,5A
02093,MA,NORFOLK,WRENTHAM,5A
02108,MA,SUFFOLK,BOSTON,5A
02109,MA,SUFFOLK,BOSTON,5A
02110,MA,SUFFOLK,BOSTON,5A
02111,MA,SUFFOLK,BOSTON,5A
02112,MA,SUFFOLK,BOSTON,5A
02113,MA,SUFFOLK,BOSTON,5A
02114,MA,SUFFOLK,BOSTON,5A
02115,MA,SUFFOLK,BOSTON,5A
02116,MA,SUFFOLK,BOSTON,5A
02117,MA,SUFFOLK,BOSTON,5A
02118,MA,SUFFOLK,BOSTON,5A
02119,MA,SUFFOLK,ROXBURY,5A
02120,MA,SUFFOLK,ROXBURY CROSSING,5A
02121,MA,SUFFOLK,DORCHESTER,5A
02122,MA,SUFFOLK,DORCHESTER,5A
02123,MA,SUFFOLK,BOSTON,5A
02124,MA,SUFFOLK,DORCHESTER CENTER,5A
02125,MA,SUFFOLK,DORCHESTER,5A
02126,MA,SUFFOLK,MATTAPAN,5A
02127,MA,SUFFOLK,BOSTON,5A
02128,MA,SUFFOLK,BOSTON,5A
02129,MA,SUFFOLK,CHARLESTOWN,5A
02130,MA,SUFFOLK,JAMAICA PLAIN,5A
02131,MA,SUFFOLK,ROSLINDALE,5A
02132,MA,SUFFOLK,WEST ROXBURY,5A
02133,MA,SUFFOLK,BOSTON,5A
02134,MA,SUFFOLK,ALLSTON,5A
02135,MA,SUFFOLK,BRIGHTON,5A
02136,MA,SUFFOLK,HYDE PARK,5A
02137,MA,SUFFOLK,READVILLE,5A
02138,MA,MIDDLESEX,CAMBRIDGE,5A
02139,MA,MIDDLESEX,CAMBRIDGE,5A
02140,MA,MIDDLESEX,CAMBRIDGE,5A
02141,MA,MIDDLESEX,CAMBRIDGE,5A
02142,MA,MIDDLESEX,CAMBRIDGE,5A
02143,MA,MIDDLESEX,SOMERVILLE,5A
02144,MA,MIDDLESEX,SOMERVILLE,5A
02145,MA,MIDDLESEX,SOMERVILLE,5A
02148,MA,MIDDLESEX,MALDEN,5A
02149,MA,MIDDLESEX,EVERETT,5A
02150,MA,SUFFOLK,CHELSEA,5A
02151,MA,SUFFOLK,REVERE,5A
02152,MA,SUFFOLK,WINTHROP,5A
02153,MA,MIDDLESEX,MEDFORD,5A
02155,MA,MIDDLESEX,MEDFORD,5A
02156,MA,MIDDLESEX,WEST MEDFORD,5A
02163,MA,SUFFOLK,BOSTON,5A
02169,MA,NORFOLK,QUINCY,5A
02170,MA,NORFOLK,QUINCY,5A
02171,MA,NORFOLK,QUINCY,5A
02176,MA,MIDDLESEX,MELROSE,5A
02180,MA,MIDDLESEX,STONEHAM,5A
02184,MA,NORFOLK,BRAINTREE,5A
02185,MA,NORFOLK,BRAINTREE,5A
02186,MA,NORFOLK,MILTON,5A
02187,MA,NORFOLK,MILTON VILLAGE,5A
02188,MA,NORFOLK,WEYMOUTH,5A
02189,MA,NORFOLK,EAST WEYMOUTH,5A
02190,MA,NORFOLK,SOUTH WEYMOUTH,5A
